,B,C,E,high,input,low,nthreads,st,pkg0,pkg1,pp00,pp01,dram0,dram1,time
1,-1,1,-1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,18 4,50.743118,49.601364,28.630417,27.873199,8.674591,6.913239,1.509013
2,1,-1,1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,4 18,59.385864,56.138733,42.197708,39.162735,7.184158,6.486969,1.163156
3,1,1,1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,0 127,60.191162,58.208939,42.479309,40.607742,7.035385,6.900238,1.203793
4,-1,1,1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,2 20,59.455444,58.179733,42.291367,41.223297,7.196564,6.551971,1.161693
5,-1,-1,-1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,127 0,51.034393,49.830353,28.687225,27.794235,8.431488,7.196274,1.527777
6,1,1,-1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,16 6,50.364456,49.357224,28.360733,27.522568,7.967163,7.560867,1.509128
7,-1,-1,1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,6 16,58.242538,54.775818,41.296112,38.206238,7.406815,5.918655,1.141742
8,1,-1,-1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,20 2,50.715317,51.024338,28.37619,28.942459,8.358856,7.517685,1.528245
9,-1,-1,1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,6 16,61.241669,57.295013,43.305511,39.688904,7.582169,6.339264,1.212513
10,1,1,-1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,16 6,50.993561,50.242432,28.663437,28.165497,8.231339,7.461899,1.528573
11,-1,-1,-1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,127 0,52.394699,51.220047,29.074097,28.376709,9.110184,6.890457,1.590166
12,1,1,1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,0 127,58.696136,55.138977,41.626266,38.362762,7.251221,6.149582,1.153312
13,-1,1,-1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,18 4,50.957245,49.880905,28.759644,28.002701,8.525665,7.149185,1.517306
14,-1,1,1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,2 20,61.799637,58.257324,43.994904,40.788696,7.725388,6.307007,1.202358
15,1,-1,1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,4 18,59.223648,54.96254,42.133408,37.909561,6.593719,6.960922,1.163783
16,1,-1,-1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,20 2,51.06015,50.039978,28.675125,28.021011,8.793808,7.046158,1.527794
