,L,N,high,input,low,nthreads,st,pkg0,pkg1,pp00,pp01,dram0,dram1,time
1,1,-1,2300000,-x 50 -y 50 -z 50,1500000,24,8192 2048,1030.065994,1013.618759,690.132874,679.803635,92.646896,66.032852,23.657116
2,1,1,2300000,-x 50 -y 50 -z 50,1500000,24,0 458721,992.234055,941.726379,692.384186,647.025177,81.346878,62.079544,20.838717
3,-1,-1,2300000,-x 50 -y 50 -z 50,1500000,24,458721 0,978.449387,965.752045,542.669296,535.034409,105.068542,85.624725,30.478323
4,-1,1,2300000,-x 50 -y 50 -z 50,1500000,24,2048 8192,1040.845078,1003.795914,599.080505,567.482834,106.236420,85.752808,30.864115
5,-1,1,2300000,-x 50 -y 50 -z 50,1500000,24,2048 8192,1024.844788,988.357834,597.097412,567.639755,108.111694,79.626541,29.797033
6,1,1,2300000,-x 50 -y 50 -z 50,1500000,24,0 458721,1100.674667,1046.782379,762.731186,714.711929,90.542694,66.590332,23.437548
7,1,-1,2300000,-x 50 -y 50 -z 50,1500000,24,8192 2048,1047.809677,1025.708130,706.066986,690.314682,91.719955,66.646973,23.652491
8,-1,-1,2300000,-x 50 -y 50 -z 50,1500000,24,458721 0,1024.854218,1002.800232,565.717667,549.073532,108.800049,90.704788,32.003399
9,1,-1,2300000,-x 50 -y 50 -z 50,1500000,24,8192 2048,946.962555,921.820923,644.948242,625.288803,82.249390,61.496521,20.877756
10,-1,-1,2300000,-x 50 -y 50 -z 50,1500000,24,458721 0,932.649353,910.839310,519.714493,502.237106,99.065063,86.067963,28.775198
11,-1,1,2300000,-x 50 -y 50 -z 50,1500000,24,2048 8192,924.702362,885.421173,547.375534,513.143295,92.752640,76.663605,26.229126
12,1,1,2300000,-x 50 -y 50 -z 50,1500000,24,0 458721,1101.543594,1055.287994,760.782639,721.051544,90.158920,68.430099,23.576574
13,-1,1,2300000,-x 50 -y 50 -z 50,1500000,24,2048 8192,1022.820709,978.505310,599.356262,561.407959,103.916946,81.046021,29.414343
14,-1,-1,2300000,-x 50 -y 50 -z 50,1500000,24,458721 0,1025.933258,1000.779160,567.352997,548.170029,108.845306,88.272598,31.950186
