,E,G,high,input,low,nthreads,st,pkg0,pkg1,pp00,pp01,dram0,dram1,time
1,-1,-1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,127 0,116.657639,115.979797,66.133026,66.429092,24.742432,20.972504,3.366714
2,1,-1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,64 16,123.854813,123.082535,74.020233,73.996643,24.088867,21.287277,3.324155
3,1,1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,0 127,140.049789,136.601013,96.995392,94.502930,23.070587,19.153366,2.835273
4,-1,1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,16 64,134.703232,130.976257,92.518204,89.621704,22.675568,19.369461,2.777462
5,1,1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,0 127,138.163574,134.741135,95.995605,93.144516,22.026764,20.072815,2.784904
6,-1,-1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,127 0,115.610550,114.843796,65.578171,65.803253,24.638687,20.628708,3.331681
7,-1,1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,16 64,135.372406,132.150223,92.349319,89.945206,22.754578,19.660446,2.837484
8,1,-1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,64 16,121.902252,120.866791,73.029037,72.628357,23.599976,21.217575,3.261138
9,1,-1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,64 16,710.648315,695.282974,318.993530,306.934204,85.495102,81.268127,27.471489
10,1,1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,0 127,136.002441,132.213531,94.953766,91.793655,22.041565,19.491669,2.705466
11,-1,1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,16 64,137.088501,133.359253,93.437622,90.740738,23.727219,18.996002,2.875556
12,-1,-1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,127 0,117.789536,116.799774,66.286316,66.652374,26.141495,19.892715,3.422949
13,-1,-1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,127 0,116.015411,115.606506,65.657486,66.199646,24.799271,20.641418,3.356031
14,1,1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,0 127,137.755447,134.900360,95.497696,93.388397,22.596481,19.373337,2.787083
15,-1,1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,16 64,133.127167,130.532974,91.076965,88.971970,21.961441,20.499420,2.777051
16,1,-1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,64 16,122.509964,121.865952,73.199356,73.193741,23.813461,21.361313,3.291567
17,-1,1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,16 64,134.731094,131.624008,92.175201,89.780716,22.695129,19.730988,2.806897
18,1,1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,0 127,147.125198,143.616425,101.191940,98.908096,24.381790,18.967133,3.028943
19,1,-1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,64 16,123.505692,122.515991,73.884109,73.731384,24.320511,20.899780,3.304574
20,-1,-1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,127 0,116.494186,115.799286,65.853592,66.190811,25.050400,20.617920,3.372662
