,E,I,J,L,Q,high,input,low,nthreads,st,pkg0,pkg1,pp00,pp01,dram0,dram1,time
1,-1,-1,1,1,-1,2300000,25,1800000,24,4398616936448 9663676416,1806.388796,1775.486844,1175.401104,1163.162174,301.685900,218.328782,41.994051
2,1,1,1,-1,-1,2300000,25,1800000,24,4406636445696 1644167168,1794.027522,1766.643787,1197.940551,1190.124586,301.763964,210.806138,39.378237
3,-1,-1,-1,1,1,2300000,25,1800000,24,1644167168 4406636445696,1694.791199,1672.834579,1068.167327,1065.405041,301.539385,216.840577,41.573782
4,1,-1,1,-1,-1,2300000,25,1800000,24,4407173316608 1107296256,1735.926776,1707.947832,1130.260209,1121.511852,295.341001,209.916822,40.026381
5,-1,-1,1,1,1,2300000,25,1800000,24,570425344 4407710187520,1806.864577,1780.652146,1189.269316,1182.504146,301.879268,215.352052,40.780953
6,1,1,1,1,1,2300000,25,1800000,24,0 4408280612864,1835.614711,1789.587478,1269.811737,1243.168812,285.315733,198.268663,37.181480
7,-1,1,1,1,1,2300000,25,1800000,24,33554432 4408247058432,1852.193588,1845.497315,1249.885775,1257.105530,284.773604,232.986192,39.814709
8,1,1,-1,1,1,2300000,25,1800000,24,1073741824 4407206871040,1727.641742,1687.734907,1143.199156,1123.525924,286.616925,199.267902,38.489665
9,1,1,1,1,-1,2300000,25,1800000,24,4398046511104 10234101760,1871.905151,1827.358371,1285.668670,1262.000921,289.064606,204.649761,38.529224
10,-1,1,1,-1,1,2300000,25,1800000,24,8623489024 4399657123840,1663.780148,1633.702855,1100.148760,1089.649857,277.672286,194.496292,37.099881
11,1,-1,-1,1,-1,2300000,25,1800000,24,4399657123840 8623489024,1751.683242,1710.395093,1127.157519,1106.184127,299.429629,213.370147,41.214747
12,1,1,-1,1,-1,2300000,25,1800000,24,4399120252928 9160359936,1652.519468,1647.887757,1097.351288,1102.832184,253.780609,220.888978,36.805019
13,-1,-1,-1,-1,1,2300000,25,1800000,24,10234101760 4398046511104,1607.954898,1580.475216,977.758775,969.450728,300.447141,215.910279,41.699117
14,1,-1,-1,-1,1,2300000,25,1800000,24,10200547328 4398080065536,1647.295014,1598.419996,1037.087952,1007.571931,292.764313,208.370298,40.316375
15,1,1,1,-1,1,2300000,25,1800000,24,8589934592 4399690678272,1766.475478,1740.485814,1184.959581,1179.456635,292.372604,203.429353,38.196602
16,1,-1,-1,-1,-1,2300000,25,1800000,24,4408247058432 33554432,2026.565994,1939.540239,1226.059692,1160.720978,333.263552,244.849163,53.584897
17,-1,-1,1,-1,1,2300000,25,1800000,24,9160359936 4399120252928,1652.922869,1626.991106,1055.333361,1048.179673,285.008753,200.541381,39.568590
18,1,-1,1,-1,1,2300000,25,1800000,24,9126805504 4399153807360,1732.350706,1729.056735,1128.040968,1138.622905,281.356781,225.546404,40.081397
19,-1,-1,-1,-1,-1,2300000,25,1800000,24,4408280612864 0,1577.947556,1549.800734,950.076514,940.322115,291.085298,204.943116,41.790741
20,-1,-1,-1,1,-1,2300000,25,1800000,24,4399690678272 8589934592,1720.513947,1686.675188,1083.463622,1069.449967,306.895219,217.749453,42.207902
21,1,-1,1,1,1,2300000,25,1800000,24,536870912 4407743741952,1838.660905,1801.724352,1223.563766,1206.122921,294.523911,208.788758,40.712111
22,1,-1,1,1,-1,2300000,25,1800000,24,4398583382016 9697230848,1835.913221,1802.448349,1228.818146,1214.610291,298.373825,212.873977,40.035837
23,-1,1,-1,1,-1,2300000,25,1800000,24,4399153807360 9126805504,1682.522765,1649.139557,1091.648212,1077.289059,289.535324,204.284790,38.980157
