,E,I,J,L,input,nthreads,low,high,st,pkg0,pkg1,pp00,pp01,dram0,dram1,time
1,-1,1,1,-1,25,24,1800000,2300000,8623489024 1610612736,1675.532215,1626.219114,1103.022170,1065.136064,272.440900,221.174730,38.301266
2,1,1,-1,-1,25,24,1800000,2300000,9663676416 570425344,1656.456772,1597.450486,1083.247875,1037.484647,277.175675,222.982632,38.110192
3,1,1,-1,1,25,24,1800000,2300000,1073741824 9160359936,1892.177751,1815.286700,1264.672730,1201.328141,295.386597,243.041108,41.771170
4,-1,1,-1,-1,25,24,1800000,2300000,9697230848 536870912,1658.536546,1613.704456,1050.166260,1019.751740,293.230058,233.610143,40.427437
5,-1,-1,1,1,25,24,1800000,2300000,570425344 9663676416,1793.686598,1733.024369,1191.227275,1123.071227,223.696701,287.472155,40.849554
6,-1,-1,1,-1,25,24,1800000,2300000,9160359936 1073741824,1713.072460,1668.420240,1107.342803,1055.400481,228.191910,293.415560,41.007564
7,1,-1,1,1,25,24,1800000,2300000,536870912 9697230848,1904.235716,1825.336715,1296.105314,1210.032209,233.509000,296.675396,41.062265
8,1,-1,-1,1,25,24,1800000,2300000,1610612736 8623489024,1772.578477,1716.162411,1150.197558,1107.827162,293.373733,237.865952,41.323956
9,1,-1,1,-1,25,24,1800000,2300000,9126805504 1107296256,1801.708969,1752.054384,1186.084593,1128.737197,231.446916,297.762036,41.624390
10,1,1,1,1,25,24,1800000,2300000,0 10234101760,1869.331513,1793.237301,1301.860043,1239.679761,275.969923,221.564777,37.477918
11,-1,-1,-1,1,25,24,1800000,2300000,1644167168 8589934592,1720.236589,1685.189729,1097.163056,1054.977158,233.112749,297.709550,42.138549
12,1,1,1,-1,25,24,1800000,2300000,8589934592 1644167168,1702.932498,1644.430452,1157.952164,1112.618945,264.415129,211.633864,36.024078
13,-1,1,1,1,25,24,1800000,2300000,33554432 10200547328,1871.674680,1801.334596,1266.838973,1210.053908,285.374388,233.599928,40.061531
14,-1,1,-1,1,25,24,1800000,2300000,1107296256 9126805504,1777.651110,1737.112471,1171.549266,1122.543488,228.372970,299.201854,40.932702
