,B,E,high,input,low,nthreads,st,pkg0,pkg1,pp00,pp01,dram0,dram1,time
1,1,-1,2300000,250 250 250,1500000,24,16 2,1654.397049,1608.003830,1147.378983,1112.905075,322.442856,280.998383,32.142216
2,-1,1,2300000,250 250 250,1500000,24,2 16,1294.616257,1299.436478,777.984924,789.410156,310.778748,298.262604,32.989971
3,1,1,2300000,250 250 250,1500000,24,0 159,1848.446518,1758.615845,1309.911545,1236.155060,339.023117,275.482300,34.183598
4,-1,-1,2300000,250 250 250,1500000,24,159 0,1186.803299,1182.569763,677.221756,684.519562,323.139389,282.961060,32.331585
5,-1,1,2300000,250 250 250,1500000,24,2 16,1282.517471,1295.376846,770.057877,787.423462,305.633652,301.842010,32.798420
6,1,1,2300000,250 250 250,1500000,24,0 159,1804.660065,1746.453415,1281.246124,1234.990173,324.933273,284.279282,33.226082
7,1,-1,2300000,250 250 250,1500000,24,16 2,1651.984100,1589.481659,1154.539337,1102.390884,317.651672,282.569305,31.404446
8,-1,-1,2300000,250 250 250,1500000,24,159 0,1205.053802,1211.254181,685.795395,700.913696,319.200897,293.600220,33.059788
9,-1,1,2300000,250 250 250,1500000,24,2 16,1593.928558,1559.303680,939.947998,918.868729,353.913422,307.702347,42.420059
10,1,-1,2300000,250 250 250,1500000,24,16 2,1648.902557,1652.574432,1134.048965,1140.380737,302.814316,306.283447,32.957970
11,1,1,2300000,250 250 250,1500000,24,0 159,1751.282349,1739.753220,1242.361328,1235.489594,305.347916,299.349503,32.396553
12,-1,-1,2300000,250 250 250,1500000,24,159 0,1216.374619,1216.107422,691.251053,701.982452,325.651627,289.371841,33.369831
13,-1,1,2300000,250 250 250,1500000,24,2 16,1272.738724,1270.291656,775.511368,781.176834,315.538422,288.366196,31.547699
14,1,-1,2300000,250 250 250,1500000,24,16 2,1694.379700,1661.637924,1170.728394,1146.985229,318.188049,292.629059,33.318970
15,1,1,2300000,250 250 250,1500000,24,0 159,1811.020996,1715.769119,1292.663147,1209.350937,324.888397,283.665482,32.775154
16,-1,-1,2300000,250 250 250,1500000,24,159 0,1163.635254,1168.603134,671.352844,683.044174,310.409302,292.370895,31.203821
17,-1,-1,2300000,250 250 250,1500000,24,159 0,1220.675827,1217.068222,691.646942,699.228531,327.786743,288.364670,33.685520
18,1,1,2300000,250 250 250,1500000,24,0 159,1721.822922,1681.668457,1235.236664,1202.609329,309.402267,286.291885,30.747004
19,-1,1,2300000,250 250 250,1500000,24,2 16,1288.422974,1290.957489,785.163605,794.213776,311.489807,294.847336,31.974373
20,1,-1,2300000,250 250 250,1500000,24,16 2,1693.880585,1657.812759,1172.148300,1145.231613,319.320572,293.150940,33.123322
21,1,-1,2300000,250 250 250,1500000,24,16 2,1619.184860,1593.122940,1130.578461,1111.243408,307.412033,291.632492,30.846315
22,-1,-1,2300000,250 250 250,1500000,24,159 0,1242.973358,1221.764145,705.877487,698.342606,337.086258,282.095779,34.105942
23,1,1,2300000,250 250 250,1500000,24,0 159,1795.391525,1735.660736,1280.100708,1230.943649,321.866135,286.554443,32.616222
24,-1,1,2300000,250 250 250,1500000,24,2 16,1294.111298,1285.439911,786.352219,788.696503,323.002487,285.449326,32.108727
25,-1,1,2300000,250 250 250,1500000,24,2 16,1320.123077,1328.893112,793.733017,810.328400,316.925446,297.880356,33.565857
26,1,-1,2300000,250 250 250,1500000,24,16 2,1692.336395,1638.620956,1174.212997,1131.458542,322.705460,283.988586,32.833797
27,1,1,2300000,250 250 250,1500000,24,0 159,1725.679382,1689.977448,1237.813080,1208.847168,305.962921,291.140823,30.794621
28,-1,-1,2300000,250 250 250,1500000,24,159 0,1203.314499,1200.048645,685.592865,691.149719,320.017105,290.466003,32.897171
29,1,1,2300000,250 250 250,1500000,24,0 159,1815.918976,1745.289688,1292.555679,1234.120728,326.457672,283.360855,33.108814
30,1,-1,2300000,250 250 250,1500000,24,16 2,1678.846771,1623.392944,1170.079147,1127.008591,323.189819,283.783569,32.044773
31,-1,1,2300000,250 250 250,1500000,24,2 16,1310.296463,1318.801636,789.567657,803.666245,309.807205,302.953903,33.198128
32,-1,-1,2300000,250 250 250,1500000,24,159 0,1194.384277,1192.627182,682.917297,693.158478,325.771408,285.201630,32.384205
33,1,1,2300000,250 250 250,1500000,24,0 159,1736.781601,1681.278549,1245.989563,1198.641068,310.463196,287.394211,30.997887
34,1,-1,2300000,250 250 250,1500000,24,16 2,1660.383957,1623.475983,1149.678421,1119.968567,310.402206,295.496262,32.386478
35,-1,1,2300000,250 250 250,1500000,24,2 16,1321.357574,1304.316757,803.909271,799.721863,327.782623,283.469116,32.726055
36,-1,-1,2300000,250 250 250,1500000,24,159 0,1206.112411,1193.871567,688.910858,686.597885,320.769104,290.194260,32.893135
37,-1,1,2300000,250 250 250,1500000,24,2 16,1298.625977,1295.000885,786.879761,790.824585,312.869461,295.296036,32.593433
38,-1,-1,2300000,250 250 250,1500000,24,159 0,1171.522964,1165.689941,671.656403,675.716492,317.638733,286.137100,31.704479
39,1,1,2300000,250 250 250,1500000,24,0 159,1760.730804,1727.558090,1251.184677,1223.853119,307.424927,298.840988,32.460140
40,1,-1,2300000,250 250 250,1500000,24,16 2,1671.071045,1619.212585,1160.075790,1116.670013,314.566727,292.300583,32.417358
41,-1,1,2300000,250 250 250,1500000,24,2 16,1261.037399,1260.116760,772.131577,777.141586,307.100922,294.262405,31.002192
42,1,-1,2300000,250 250 250,1500000,24,16 2,1726.009140,1653.583389,1195.824432,1136.965744,331.328445,284.291168,33.593983
43,-1,-1,2300000,250 250 250,1500000,24,159 0,1203.666168,1192.925110,689.793320,691.753357,328.623001,282.856384,32.533203
44,1,1,2300000,250 250 250,1500000,24,0 159,1791.123474,1717.104019,1282.297577,1221.523300,326.319305,280.043274,32.065643
45,-1,-1,2300000,250 250 250,1500000,24,159 0,1218.022858,1215.517258,693.563553,702.367096,326.791290,288.409943,33.321480
46,-1,1,2300000,250 250 250,1500000,24,2 16,1310.927307,1297.280029,795.007614,793.883820,328.527115,284.417023,32.700008
47,1,-1,2300000,250 250 250,1500000,24,16 2,1673.400513,1607.059952,1168.178589,1112.998199,321.800308,284.863235,31.946321
48,1,1,2300000,250 250 250,1500000,24,0 159,1773.542404,1712.414581,1269.051224,1215.500244,309.366882,292.045044,31.971523
49,1,-1,2300000,250 250 250,1500000,24,16 2,1630.862305,1596.504272,1141.117661,1113.828659,306.019836,292.115524,30.908066
50,-1,1,2300000,250 250 250,1500000,24,2 16,1303.392410,1314.721817,786.683563,802.770767,305.424255,302.334564,32.956306
51,1,1,2300000,250 250 250,1500000,24,0 159,1772.133026,1707.788895,1267.666718,1211.758026,311.034058,288.451385,31.909206
52,-1,-1,2300000,250 250 250,1500000,24,159 0,1168.105240,1168.929321,674.979477,683.597290,311.086670,289.907471,31.210270
53,-1,1,2300000,250 250 250,1500000,24,2 16,1309.935516,1302.410660,795.430161,797.209198,317.873779,288.672394,32.710480
54,-1,-1,2300000,250 250 250,1500000,24,159 0,1158.059753,1163.560654,666.162399,678.245377,310.400635,292.260529,31.231369
55,1,1,2300000,250 250 250,1500000,24,0 159,1718.816650,1678.476059,1234.438873,1200.416397,304.448456,290.836212,30.635944
56,1,-1,2300000,250 250 250,1500000,24,16 2,2110.941650,2046.615707,1366.726608,1315.028809,362.194489,328.812988,48.688744
57,1,1,2300000,250 250 250,1500000,24,0 159,1768.543121,1706.616684,1264.310455,1210.489563,311.515305,290.520859,31.925768
58,-1,-1,2300000,250 250 250,1500000,24,159 0,1210.257141,1200.491562,693.759308,696.690323,330.969437,281.982559,32.698734
59,-1,1,2300000,250 250 250,1500000,24,2 16,1318.073441,1317.083282,795.587021,803.449326,319.223846,294.067627,33.289703
60,1,-1,2300000,250 250 250,1500000,24,16 2,1683.402664,1616.630875,1170.128159,1113.801498,319.584549,282.209778,32.520531
61,1,-1,2300000,250 250 250,1500000,24,16 2,1657.173752,1590.964539,1159.577988,1103.354004,315.810608,282.831406,31.387159
62,1,1,2300000,250 250 250,1500000,24,0 159,1758.480408,1717.972855,1253.931091,1220.483994,308.055771,293.947357,31.944584
63,-1,-1,2300000,250 250 250,1500000,24,159 0,1162.100815,1162.854355,671.423416,678.965469,309.893143,291.024704,31.023624
64,-1,1,2300000,250 250 250,1500000,24,2 16,1289.574432,1271.093979,786.887024,778.315247,318.171021,285.479599,31.809929
65,-1,-1,2300000,250 250 250,1500000,24,159 0,1228.519043,1218.162247,696.831406,698.488419,329.880188,287.599030,33.826164
66,1,1,2300000,250 250 250,1500000,24,0 159,1718.903473,1678.459381,1234.381042,1200.215225,305.622192,290.272919,30.630701
67,1,-1,2300000,250 250 250,1500000,24,16 2,1656.430222,1611.190750,1153.694901,1114.485168,308.453079,295.753143,31.885918
68,-1,1,2300000,250 250 250,1500000,24,2 16,1325.024048,1309.923279,804.556259,800.300095,323.532318,288.714828,33.020508
69,-1,1,2300000,250 250 250,1500000,24,2 16,1270.962158,1268.533844,777.045212,782.039520,309.517731,291.501602,31.294975
70,1,1,2300000,250 250 250,1500000,24,0 159,1804.612732,1743.641769,1285.671387,1235.374283,319.838882,288.586349,32.869213
71,-1,-1,2300000,250 250 250,1500000,24,159 0,1210.281219,1205.516815,688.927536,693.904175,321.095963,288.900940,33.139378
72,1,-1,2300000,250 250 250,1500000,24,16 2,1623.544769,1592.348251,1134.082642,1109.198227,306.815628,290.084763,30.964891
73,-1,1,2300000,250 250 250,1500000,24,2 16,1338.385635,1309.820633,810.768463,794.111282,329.831802,284.844818,33.492317
74,1,-1,2300000,250 250 250,1500000,24,16 2,1685.686661,1620.082870,1176.215134,1123.965393,327.082840,277.072083,32.106636
75,1,1,2300000,250 250 250,1500000,24,0 159,1737.682068,1691.632843,1246.327194,1209.064590,310.752014,285.490067,30.948511
76,-1,-1,2300000,250 250 250,1500000,24,159 0,1193.686722,1195.816772,680.466461,690.720154,315.442047,293.572235,32.592449
77,1,-1,2300000,250 250 250,1500000,24,16 2,1696.854324,1630.725647,1182.165146,1129.937134,327.683838,278.649429,32.432583
78,-1,-1,2300000,250 250 250,1500000,24,159 0,1207.057877,1218.883026,690.432816,707.074799,306.979965,303.023026,32.968113
79,-1,1,2300000,250 250 250,1500000,24,2 16,1316.046387,1303.700928,796.728531,794.081665,320.348846,289.363602,33.025700
80,1,1,2300000,250 250 250,1500000,24,0 159,1726.734222,1678.432449,1240.190887,1199.165878,308.002762,289.427155,30.708412
81,-1,-1,2300000,250 250 250,1500000,24,159 0,1228.761368,1227.032196,700.523239,708.850174,325.259949,292.861572,33.612019
82,1,-1,2300000,250 250 250,1500000,24,16 2,1671.651871,1623.706009,1160.493805,1120.374741,313.694901,292.735123,32.430424
83,-1,1,2300000,250 250 250,1500000,24,2 16,1271.324631,1267.605942,777.463470,781.360458,312.517212,290.016235,31.265783
84,1,1,2300000,250 250 250,1500000,24,0 159,1792.906723,1718.586777,1280.508820,1217.057159,319.458160,284.828720,32.395401
85,1,1,2300000,250 250 250,1500000,24,0 159,1725.609711,1686.627594,1238.394775,1207.074249,306.322052,289.249573,30.690943
86,1,-1,2300000,250 250 250,1500000,24,16 2,1701.794907,1639.041748,1183.680725,1135.491623,332.015533,278.244339,32.597630
87,-1,-1,2300000,250 250 250,1500000,24,159 0,1242.081955,1231.293671,703.828476,706.495438,333.826172,288.058487,34.143208
