,D,F,K,T,Y,high,input,low,nthreads,st,pkg0,pkg1,pp00,pp01,dram0,dram1,time
1,-1,1,1,-1,1,2300000,nx=200,1500000,24,524296 16778272,1892.249588,1720.709305,1247.040070,1089.442383,281.125031,237.891800,42.686279
2,-1,-1,1,1,1,2300000,nx=200,1500000,24,40 17302528,1587.326630,1783.198563,893.580170,1107.554199,301.915436,237.006622,46.001080
3,1,1,1,1,-1,2300000,nx=200,1500000,24,16777216 525352,2079.756180,1880.898727,1310.991791,1137.658661,330.996582,234.907944,51.083637
4,1,-1,-1,-1,1,2300000,nx=200,1500000,24,525344 16777224,1484.940948,1669.327393,841.463028,1037.184937,281.004562,237.027176,42.823311
5,1,-1,-1,1,-1,2300000,nx=200,1500000,24,16778272 524296,1626.192993,1939.807449,854.731934,1189.778091,328.492325,238.061111,51.483276
6,1,-1,1,-1,-1,2300000,nx=200,1500000,24,17301536 1032,1643.558609,2002.055618,845.034195,1230.539185,343.259521,234.295578,53.207001
7,1,-1,1,1,-1,2300000,nx=200,1500000,24,16777248 525320,1545.348373,1822.666626,814.969040,1104.542618,295.680878,252.814209,48.929649
8,-1,1,1,-1,-1,2300000,nx=200,1500000,24,17301512 1056,2013.976074,1939.739334,1247.184601,1196.246979,327.451096,237.008194,51.035519
9,-1,1,-1,-1,1,2300000,nx=200,1500000,24,525320 16777248,1860.555267,1720.563324,1221.069443,1093.391846,279.938370,241.323349,42.416504
10,-1,1,-1,1,1,2300000,nx=200,1500000,24,1032 17301536,2006.717010,1756.658188,1324.819550,1095.271286,307.043030,231.616257,45.066326
11,1,1,-1,-1,-1,2300000,nx=200,1500000,24,17302528 40,2033.549484,1898.838043,1277.211548,1164.393845,320.167053,241.841125,50.264240
12,-1,-1,-1,1,1,2300000,nx=200,1500000,24,1064 17301504,1572.081467,1788.726044,885.561066,1121.374908,306.658752,231.531845,45.475544
13,1,-1,-1,1,1,2300000,nx=200,1500000,24,1056 17301512,1521.534027,1714.416061,873.430206,1079.103043,283.661636,238.139389,43.004124
14,1,-1,1,-1,1,2300000,nx=200,1500000,24,524320 16778248,1519.344879,1717.047775,852.867523,1066.710281,293.813202,238.821228,44.165527
15,-1,-1,1,1,-1,2300000,nx=200,1500000,24,16777256 525312,1601.896240,1952.427322,828.916656,1203.133194,331.336853,241.149155,51.422859
16,-1,1,1,1,1,2300000,nx=200,1500000,24,8 17302560,1901.264420,1700.675980,1253.544907,1066.213776,283.843353,235.852478,42.972958
17,-1,1,-1,1,-1,2300000,nx=200,1500000,24,16778248 524320,2032.411957,1863.034470,1271.653397,1124.466217,320.818329,239.436401,50.636986
18,-1,1,1,1,-1,2300000,nx=200,1500000,24,16777224 525344,1988.047668,1893.522522,1241.024246,1165.182831,311.392303,247.068527,49.759853
19,1,1,-1,1,-1,2300000,nx=200,1500000,24,16778240 524328,2076.953506,1969.930878,1307.027649,1225.956192,332.781494,237.423050,51.060314
20,-1,-1,-1,1,-1,2300000,nx=200,1500000,24,16778280 524288,1572.453278,1906.880264,819.347702,1169.980515,305.968994,253.133179,50.278706
21,1,1,1,-1,-1,2300000,nx=200,1500000,24,17301504 1064,1965.507187,1849.500931,1235.643738,1139.221634,310.307846,238.303558,48.529770
22,1,1,-1,-1,1,2300000,nx=200,1500000,24,525312 16777256,1870.311066,1689.632202,1246.457199,1081.249832,285.081436,229.700256,41.163727
23,1,1,-1,1,1,2300000,nx=200,1500000,24,1024 17301544,1985.927750,1732.666489,1327.182220,1093.243820,296.417404,228.686752,43.480362
24,-1,-1,1,-1,-1,2300000,nx=200,1500000,24,17301544 1024,1638.153381,1995.915283,835.579330,1220.846100,342.595566,238.646286,53.335079
